10,1
9.98,1.02998
9.96,1.01071
9.94,0.98663
9.92,0.94797
9.9,0.98674
9.88,0.98393
9.86,0.9938
9.84,0.99641
9.82,0.9664
9.8,0.98281
9.78,0.98281
9.76,0.98994
9.74,0.97825
9.72,0.96904
9.7,0.96678
9.68,0.9657
9.66,0.99786
9.64,0.9691
9.62,0.97985
9.6,0.99344
9.58,0.96519
9.56,0.96875
9.54,0.95358
9.52,0.99222
9.5,0.97449
9.48,1.00058
9.46,0.95974
9.44,1.01422
9.42,0.97801
9.4,0.94461
9.38,1.00923
9.36,1.00502
9.34,0.97943
9.32,0.97774
9.3,1.01259
9.28,1.00083
9.26,0.98062
9.24,0.98073
9.22,0.96971
9.2,1.04127
9.18,1.00999
9.16,1.03149
9.14,1.00236
9.12,1.02421
9.1,0.99743
9.08,1.01978
9.06,1.00946
9.04,1.00257
9.02,1.03118
9,1.02941
8.98,1.02167
8.96,1.03583
8.94,1.02873
8.92,1.01754
8.9,1.02079
8.88,1.02655
8.86,1.00495
8.84,1.0281
8.82,1.01454
8.8,1.01875
8.78,1.01886
8.76,1.01718
8.74,1.03066
8.72,1.01771
8.7,1.02508
8.68,1.04131
8.66,0.97581
8.64,0.98038
8.62,1.00353
8.6,1.00437
8.58,1.00411
8.56,0.99414
8.54,0.9929
8.52,1.00973
8.5,1.01649
8.48,0.98703
8.46,0.9932
8.44,1.03534
8.42,1.01483
8.4,1.01527
8.38,1.00287
8.36,1.00011
8.34,1.02381
8.32,1.02156
8.3,0.99785
8.28,1.02466
8.26,1.01282
8.24,1.00067
8.22,1.00482
8.2,1.00561
8.18,1.01652
8.16,1.01976
8.14,1.00343
8.12,1.01024
8.1,1.02337
8.08,1.01441
8.06,1.01728
8.04,1.03474
8.02,1.00805
8,1.02903
7.98,1.04744
7.96,1.00314
7.94,1.01738
7.92,1.01
7.9,1.0218
7.88,1.01786
7.86,0.99943
7.84,1.01708
7.82,1.02253
7.8,1.05007
7.78,1.02151
7.76,1.01313
7.74,1.02485
7.72,1.04572
7.7,1.01424
7.68,1.01579
7.66,1.01908
7.64,1.0274
7.62,1.02182
7.6,1.01731
7.58,1.005
7.56,1.02337
7.54,1.02403
7.52,1.03844
7.5,1.03067
7.48,1.00193
7.46,1.02754
7.44,1.04416
7.42,1.02227
7.4,0.99943
7.38,1.01803
7.36,1.00538
7.34,1.02025
7.32,1.02472
7.3,1.05108
7.28,1.03617
7.26,1.02482
7.24,1.01855
7.22,1.0318
7.2,1.01989
7.18,1.02083
7.16,1.04354
7.14,1.04447
7.12,1.00591
7.1,1.04812
7.08,1.04553
7.06,1.04355
7.04,1.04971
7.02,1.03338
7,1.04829
6.98,1.03308
6.96,1.06505
6.94,1.0346
6.92,1.02241
6.9,1.05963
6.88,1.03883
6.86,1.04767
6.84,1.04554
6.82,1.03573
6.8,1.04087
6.78,1.05564
6.76,1.066
6.74,1.05393
6.72,1.07526
6.7,1.05215
6.68,1.0415
6.66,1.06246
6.64,1.05276
6.62,1.06352
6.6,1.04492
6.58,1.04242
6.56,1.0466
6.54,1.03829
6.52,1.0568
6.5,1.04214
6.48,1.07997
6.46,1.04185
6.44,1.05582
6.42,1.06311
6.4,1.03685
6.38,1.04812
6.36,1.05055
6.34,1.06339
6.32,1.04595
6.3,1.05627
6.28,1.05909
6.26,1.06985
6.24,1.05491
6.22,1.05071
6.2,1.07176
6.18,1.05903
6.16,1.05431
6.14,1.05623
6.12,1.06898
6.1,1.07737
6.08,1.05942
6.06,1.07618
6.04,1.06774
6.02,1.06015
6,1.0685
5.98,1.06459
5.96,1.05403
